ID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
477,Audi A4 2.0 TDI Multitronic,Bangalore,2012,88000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,16.25
478,Ford Figo Diesel EXI Option,Chennai,2012,72500,Diesel,Manual,First,,1399 CC,68 bhp,5,3.12
479,Hyundai i10 Era,Jaipur,2010,59000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5,2.32
480,Hyundai Xcent 1.2 Kappa S,Kochi,2017,,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5,6.21
481,Maruti Alto 800 2016-2019 CNG LXI,Pune,2015,18000,CNG,Manual,First,33.44 km/kg,796 CC,40.3 bhp,4,3
482,Audi A4 3.0 TDI Quattro,Bangalore,2014,30000,Diesel,Automatic,,14.94 kmpl,2967 CC,241.4 bhp,5,24.5
483,Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,5,48.5
484,Maruti Ritz ZXI,Coimbatore,2016,40052,,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5,6.17
485,Jaguar F Type 5.0 V8 S,Hyderabad,2015,8000,Petrol,Automatic,First,12.5 kmpl,5000 CC,488.1 bhp,2,100
486,Toyota Innova Crysta 2.4 VX MT,Mumbai,2016,,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7,17.11
487,Tata Nano XT,Coimbatore,2017,14149,Petrol,Manual,First,23.9 kmpl,624 CC,37.48 bhp,4,3.47
488,Honda City 1.5 V MT,Hyderabad,2016,28414,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,8.4
489,Nissan X-Trail SLX MT,Pune,2010,128000,Diesel,Manual,,14.42 kmpl,1995 CC,147.6 bhp,5,6.2
490,Hyundai i20 1.4 Asta,Mumbai,,57000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5,6.35
491,Renault Duster Petrol RxL,Bangalore,2014,52000,Petrol,Manual,First,13.24 kmpl,1598 CC,102.57 bhp,5,5.99
492,Hyundai i10 Sportz 1.2,Pune,2009,68000,Petrol,Manual,Third,20.36 kmpl,1197 CC,,5,1.95
493,Honda Amaze VX Diesel,Hyderabad,2018,12000,Diesel,Manual,First,27.4 kmpl,1498 CC,98.6 bhp,5,8.5
494,BMW X3 xDrive20d,Pune,2012,108000,Diesel,Automatic,First,16.09 kmpl,1995 CC,184 bhp,5,17.5
495,Maruti Eeco 7 Seater Standard,Coimbatore,,28371,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,4.74
496,Skoda Rapid 1.6 MPI AT Style,Kochi,2018,21488,Petrol,Automatic,First,14.3 kmpl,1598 CC,103.52 bhp,5,9.72
497,Maruti Swift ZXI,Chennai,2012,42000,Petrol,Manual,Third,18.6 kmpl,1197 CC,85.8 bhp,5,4.5
498,Audi A7 2011-2015 Sportback,Kolkata,2012,24720,Diesel,Automatic,Second,0.0 kmpl,0CC,241.4 bhp,5,28
499,Maruti SX4 S Cross DDiS 200 Zeta,Hyderabad,2016,,Diesel,Manual,First,23.65 kmpl,1248 CC,88.5 bhp,5,8.99
500,Mahindra TUV 300 2015-2019 T8,Coimbatore,2017,56380,Diesel,Manual,First,18.49 kmpl,1493 CC,,7,7.57
501,Maruti Swift Ldi BSIII,Pune,2009,80000,Diesel,Manual,Fourth & Above,17.8 kmpl,1248 CC,75 bhp,5,2.15
502,Maruti Wagon R VXI BS IV,Hyderabad,2018,1048,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,4.7
503,Maruti Alto 800 2016-2019 LXI Optional,Chennai,2015,63714,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5,2.45
504,Chevrolet Spark 1.0 LT,Kochi,2008,43761,Petrol,Manual,First,18.0 kmpl,995 CC,62 bhp,5,1.75
505,Toyota Corolla Altis 1.8 GL,Kochi,2012,83184,Petrol,Manual,First,14.28 kmpl,1798 CC,138.03 bhp,5,6.22
506,Maruti Wagon R VXi BSII,Pune,2012,82000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,2.3
507,Hyundai i20 1.2 Asta Option,Hyderabad,2018,11691,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,8.9
508,Volkswagen Polo Petrol Comfortline 1.2L,Coimbatore,2016,28851,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5,6.18
509,Volkswagen Vento 1.6 Comfortline,Kochi,2018,20488,Petrol,Manual,Second,16.09 kmpl,1598 CC,103.5 bhp,5,7.64
510,Maruti Wagon R VXI,Kolkata,2013,,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,2.65
511,Ford Ecosport 1.5 DV5 MT Titanium Optional,Hyderabad,2015,45000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,8.9
512,Hyundai i20 2015-2017 Asta 1.2,Pune,2016,6800,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,7.2
513,BMW 5 Series 2013-2017 520d M Sport,Pune,2018,7000,Diesel,Automatic,First,18.12 kmpl,1995 CC,,5,46
514,Hyundai Xcent 1.2 Kappa SX,Kochi,2017,15029,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5,6.05
515,Honda City V MT,Pune,2012,69000,Petrol,Manual,First,16.8 kmpl,1497 CC,,5,4.9
516,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Delhi,2014,,Diesel,Automatic,First,11.3 kmpl,2987 CC,254.8 bhp,7,38.75
517,Volvo XC60 D5,Pune,2011,106976,,Automatic,First,13.5 kmpl,2400 CC,215 bhp,5,13.8
518,Mahindra XUV500 W6 2WD,Mumbai,2015,48000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7,9.45
519,Hyundai Santro Xing XO,Chennai,2007,,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5,1.85
520,Hyundai Santa Fe 4x4 AT,Bangalore,,43000,Diesel,Automatic,Second,11.72 kmpl,2199 CC,194.3 bhp,7,10.75
521,Toyota Etios V,Kochi,2017,27100,Petrol,Manual,First,16.78 kmpl,1496 CC,88.73 bhp,5,6.37
522,Maruti Ciaz ZXi Plus,Mumbai,2015,30000,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,6.55
523,Skoda Superb Elegance 1.8 TSI AT,Kochi,,61648,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5,14.23
524,Maruti Swift VDI,Chennai,2012,,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,4.4
525,Hyundai i20 Magna 1.2,Mumbai,2018,19500,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,5.85
526,Toyota Corolla Altis VL,Mumbai,2008,110000,Petrol,Automatic,Second,14.53 kmpl,1798 CC,138.1 bhp,5,2.75
527,Hyundai i10 Sportz Option,Pune,2013,45000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,3.55
528,Hyundai Grand i10 1.2 Kappa Asta,Kochi,2017,51223,Petrol,Manual,First,18.9 kmpl,1197 CC,,5,5.66
529,Maruti Wagon R LX BSIII,Ahmedabad,2004,,Petrol,Manual,Second,17.3 kmpl,1061 CC,64 bhp,5,1.4
530,Audi A6 2011-2015 35 TFSI Technology,Kochi,2016,58953,Petrol,Automatic,First,13.53 kmpl,1984 CC,,5,24.22
531,Volkswagen Vento Petrol Highline,Pune,2011,66000,Petrol,Manual,,15.04 kmpl,1598 CC,103.6 bhp,5,4.25
532,Skoda Octavia Ambition 1.4 TSI MT,Coimbatore,,53211,Petrol,Manual,First,16.8 kmpl,1395 CC,138.02 bhp,5,11.64
533,Ford Figo 2015-2019 1.5D Ambiente MT,,2016,70000,Diesel,Manual,First,25.83 kmpl,1498 CC,99 bhp,5,4.6
534,Renault Duster 85PS Diesel RxE,Pune,2014,30000,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5,8
535,Hyundai Creta 1.6 SX Plus Petrol Automatic,Mumbai,2016,28000,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5,11.85
536,Volvo XC60 D5,Hyderabad,2015,100000,Diesel,Automatic,First,13.5 kmpl,2400 CC,215 bhp,5,32.5
537,Renault Duster 85PS Diesel RxL Option,Chennai,2012,79824,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5,5.25
538,Volkswagen Polo 1.2 MPI Highline,Pune,2017,54000,Petrol,Manual,,16.2 kmpl,1199 CC,74 bhp,5,6
539,Hyundai i20 Asta Option 1.2,Coimbatore,2017,14618,,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,8.11
540,Jaguar XF 2.2 Litre Luxury,Coimbatore,,47877,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,35.68
541,Volkswagen Polo Petrol Trendline 1.2L,Kolkata,2010,55000,Petrol,Manual,First,16.47 kmpl,1198 CC,,5,2.25
542,Hyundai EON Magna Plus,Chennai,2012,45000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,2.5
543,Toyota Corolla Altis 2008-2013 1.8 VL AT,Kochi,2016,41617,Petrol,Automatic,First,14.53 kmpl,1794 CC,138.1 bhp,5,14.14
544,Honda Jazz 1.2 V AT i VTEC Privilege,,2016,21000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5,6.35
545,Hyundai i20 Magna 1.2,Bangalore,2015,53000,Petrol,Manual,First,18.6 kmpl,1197 CC,,5,5.5
546,Hyundai Verna 1.6 VTVT,Bangalore,2012,73000,Petrol,Manual,First,17.01 kmpl,0CC,121.3 bhp,5,5.5
547,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Mumbai,2015,,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5,9.5
548,Honda Civic 2006-2010 1.8 V AT,Kochi,2011,56361,Petrol,Automatic,First,12.9 kmpl,1799 CC,130 bhp,5,4.38
549,Hyundai Grand i10 Sportz,Pune,2016,13436,Petrol,Manual,Second,18.9 kmpl,1197 CC,82 bhp,5,4.7
550,Toyota Fortuner 4x2 AT,Delhi,2015,92000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7,19.75
551,Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,89614,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,6.01
552,Hyundai Santro GLS II - Euro II,Pune,2009,100000,Petrol,Manual,First,0.0 kmpl,0CC,,,1.6
553,Hyundai i20 Active SX Petrol,Jaipur,2017,40250,Petrol,Manual,First,17.19 kmpl,1197 CC,81.86 bhp,5,6.9
554,Volkswagen Vento 1.6 Highline,Jaipur,2016,,Petrol,Manual,First,16.09 kmpl,1598 CC,103.5 bhp,5,7.7
555,Volkswagen Polo Petrol Highline 1.2L,Coimbatore,2011,44748,Petrol,Manual,Second,16.47 kmpl,1198 CC,,5,4.89
556,Hyundai EON Sportz,Hyderabad,2017,31829,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,3.65
557,Hyundai i20 1.2 Spotz,Chennai,2017,,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,6.95
558,Hyundai Elantra 1.6 SX,Pune,2013,170000,Diesel,Manual,First,22.54 kmpl,1582 CC,126.2 bhp,5,7.5
559,Honda City i VTEC V,Delhi,2016,17000,Petrol,Manual,Second,17.8 kmpl,0CC,117.3 bhp,5,8.25
560,Tata Indigo eCS GLX,Pune,2010,70500,Petrol,Manual,First,15.64 kmpl,1193 CC,64.1 bhp,5,1.5
561,Renault Duster 110PS Diesel RxZ Plus,Hyderabad,2013,60000,Diesel,Manual,First,19.64 kmpl,1461 CC,108.45 bhp,5,7.5
562,Mahindra XUV500 W8 2WD,Coimbatore,2016,41840,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,13.52
563,Audi A3 35 TDI Technology,Delhi,2017,,Diesel,Automatic,Second,20.38 kmpl,1968 CC,143 bhp,5,22.5
564,Land Rover Range Rover Vogue SE 4.4 SDV8,Coimbatore,2013,75995,Diesel,Automatic,Second,11.49 kmpl,4367 CC,335.3 bhp,5,65.81
565,Honda City i VTEC V,Kochi,2015,63818,,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5,6.57
566,Toyota Corolla Altis Diesel D4DG,Kochi,2013,74290,Diesel,Manual,,21.43 kmpl,1364 CC,87.2 bhp,5,5.87
567,Mini Cooper Convertible 1.6,Bangalore,2015,20000,Petrol,Automatic,First,18.86 kmpl,1598 CC,122 bhp,4,32
568,Tata Tiago 1.2 Revotron XT,Jaipur,,42700,Petrol,Manual,First,23.84 kmpl,1199 CC,84 bhp,5,3.6
569,BMW 3 Series 320d Sport Line,,2015,69123,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5,19
570,Honda City i-VTEC V,Mumbai,2017,,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5,8.5
571,Honda Jazz 1.2 V i VTEC,Kolkata,2015,45000,Petrol,Manual,,18.7 kmpl,1199 CC,88.7 bhp,5,4.75
572,Nissan Micra Diesel XL,Chennai,2014,,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,3
573,Hyundai i20 1.2 Spotz,Kochi,2017,51612,Petrol,Manual,,18.6 kmpl,1197 CC,81.83 bhp,5,7.11
574,Maruti Swift Dzire Tour LDI,Jaipur,2014,96000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,4.8
575,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,24465,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5,39.45
576,Maruti Alto LX,Hyderabad,2010,,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,1.95
577,Mercedes-Benz A Class A180 Sport,Mumbai,2016,17000,Petrol,Automatic,First,15.5 kmpl,1595 CC,122 bhp,5,17.25
578,Hyundai Grand i10 CRDi Asta,Bangalore,2016,50000,Diesel,Manual,First,24.0 kmpl,1120 CC,,5,5.5
579,BMW 3 Series 320d Luxury Line,Mumbai,2013,38000,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5,19.5
580,Hyundai i20 1.4 CRDi Sportz,Pune,2011,,Diesel,Manual,Second,23.0 kmpl,1396 CC,90 bhp,5,3.8
581,Hyundai Verna 1.6 SX VTVT (O),Coimbatore,2013,66930,Petrol,Manual,First,17.1 kmpl,1591 CC,,5,6.15
582,Hyundai Verna 1.4 VTVT,Bangalore,2016,36000,Petrol,Manual,First,17.43 kmpl,1396 CC,105.5 bhp,5,8
583,Hyundai Xcent 1.2 VTVT S,Coimbatore,2015,65743,Petrol,Manual,First,20.14 kmpl,1197 CC,81.86 bhp,5,6.2
584,Honda City 1.5 V MT,Kolkata,2010,45008,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,3
585,Hyundai Xcent 1.2 Kappa AT S Option,Chennai,2015,53000,Petrol,Automatic,Second,16.9 kmpl,1197 CC,81.86 bhp,5,4
586,Skoda Octavia Elegance 2.0 TDI AT,Hyderabad,2015,122086,Diesel,Automatic,First,19.3 kmpl,1968 CC,141 bhp,5,12.99
587,Hyundai i20 Asta 1.2,Coimbatore,2016,40310,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,7.09
588,Hyundai i20 2015-2017 1.2 Magna,Pune,2012,39000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,,2.75
589,Tata New Safari DICOR 2.2 VX 4x4,Chennai,2009,120000,Diesel,Manual,Second,13.93 kmpl,2179 CC,138 bhp,7,3
590,Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,2.75
591,Toyota Fortuner 4x2 AT,Hyderabad,,116000,Diesel,Automatic,Second,12.55 kmpl,2982 CC,168.5 bhp,7,19.25
592,Tata Indigo GLE,Hyderabad,2017,23228,Petrol,Manual,First,14.4 kmpl,1396 CC,65 bhp,5,4.5
593,Renault Koleos 2.0 Diesel,Delhi,2013,,Diesel,Automatic,Second,13.73 kmpl,1995 CC,148 bhp,5,7.5
594,Maruti SX4 S Cross DDiS 200 Zeta,Mumbai,2017,26000,Diesel,Manual,First,23.65 kmpl,1248 CC,88.5 bhp,5,9.75
595,Honda City i DTec V,Coimbatore,2016,60805,Diesel,Manual,First,26.0 kmpl,0CC,98.6 bhp,5,8.07
596,Maruti Ciaz ZDi Plus SHVS,Jaipur,2017,,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,9.75
597,Toyota Etios VD,Chennai,2012,48000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.05 bhp,5,5.25
598,Maruti Alto 800 LXI,Chennai,2015,21000,Petrol,Manual,,22.74 kmpl,796 CC,47.3 bhp,5,2.79
599,Volkswagen Polo GT TSI,Mumbai,2017,25000,Petrol,Automatic,First,17.21 kmpl,1197 CC,103.5 bhp,5,7.75
600,Maruti Wagon R CNG LXI,Mumbai,2013,54000,CNG,Manual,First,33.54 km/kg,998 CC,67.04 bhp,5,3.05
601,Honda BR-V i-VTEC S MT,Bangalore,,34004,Petrol,Manual,First,15.4 kmpl,1497 CC,117.3 bhp,7,8.02
602,Maruti Ritz VDi,Kolkata,2012,,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,3
603,Honda Jazz VX Diesel,Hyderabad,2017,,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5,8.4
604,Ford EcoSport 1.5 Petrol Titanium,Hyderabad,2017,21800,Petrol,Manual,First,17.0 kmpl,1497 CC,121.36 bhp,5,8.75
605,Ford Figo Diesel EXI,Chennai,2010,107389,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5,1.9
606,Skoda Superb 2.8 V6 AT,Kolkata,2005,13002,Petrol,Automatic,First,9.3 kmpl,0CC,193.1 bhp,5,3.25
607,Toyota Innova 2.5 LE 2014 Diesel 7 Seater,Pune,2014,102418,Diesel,Manual,First,12.99 kmpl,2494 CC,,7,10.1
608,BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5,17.5
609,Audi A4 New 2.0 TDI Multitronic,Coimbatore,,40670,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5,17.74
610,Tata Safari Storme 2012-2015 VX,Hyderabad,2014,93000,,Manual,First,14.0 kmpl,2179 CC,138.1 bhp,7,8.25
611,Fiat Avventura MULTIJET Emotion,Pune,2014,52782,Diesel,Manual,First,20.5 kmpl,1248 CC,91.72 bhp,5,4.85
612,Mahindra XUV500 W10 2WD,Ahmedabad,2015,52000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7,11.5
613,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Delhi,2015,15000,,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5,28.5
614,Maruti SX4 Vxi BSIV,Delhi,2009,92000,Petrol,Manual,First,15.5 kmpl,1586 CC,103.3 bhp,5,2.7
615,Hyundai Getz GLE,Coimbatore,2007,66800,Petrol,Manual,First,15.3 kmpl,1341 CC,83 bhp,5,2.2
616,Hyundai Xcent 1.2 CRDi E Plus,Jaipur,2017,60500,Diesel,Manual,First,25.4 kmpl,1186 CC,73.97 bhp,5,5.49
617,Toyota Innova 2.5 G (Diesel) 8 Seater,Hyderabad,2013,92000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,8,12.5
618,Maruti Wagon R LXI Minor,Delhi,2009,60000,Petrol,Manual,First,18.9 kmpl,1061 CC,67 bhp,5,1.35
619,Maruti Wagon R LXI,Jaipur,2011,80000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,2.5
620,Audi Q5 2008-2012 2.0 TDI,Coimbatore,2013,80127,Diesel,Automatic,First,12.8 kmpl,1968 CC,167.6 bhp,5,23.68
621,Hyundai i20 1.4 Magna ABS,Chennai,,47000,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5,2.8
622,Hyundai Tucson 2.0 e-VGT 2WD AT GLS,Kochi,2018,51346,Diesel,Automatic,,16.38 kmpl,1995 CC,183 bhp,5,21.99
623,Chevrolet Optra Magnum 2.0 LT BS3,Mumbai,2010,78563,Diesel,Manual,First,16.52 kmpl,1991 CC,123.7 bhp,5,2.35
624,Maruti Swift Dzire VDI,Jaipur,2014,61000,Diesel,Manual,,23.4 kmpl,1248 CC,74 bhp,5,5.35
625,Mahindra Xylo E4 ABS BS III,Pune,2013,167362,Diesel,Manual,First,11.68 kmpl,2498 CC,112 bhp,7,4
626,Maruti Swift LDI,Hyderabad,2016,52000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,5.95
627,Fiat Linea Emotion (Diesel),Kolkata,2015,32000,Diesel,Manual,First,20.4 kmpl,1248 CC,91.7 bhp,5,4.65
628,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,,76000,Petrol,Automatic,First,14.7 kmpl,1798 CC,177.5 bhp,5,10
629,Hyundai i20 Asta Option 1.2,Kochi,2016,61012,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,6
630,Honda Brio E MT,Kochi,2016,27969,Petrol,Manual,,19.4 kmpl,1198 CC,86.8 bhp,5,4.73
631,Hyundai i10 Magna AT,Bangalore,2009,60000,Petrol,Automatic,First,19.2 kmpl,1197 CC,80 bhp,5,2.99
632,Maruti Swift VDI,Coimbatore,2014,83274,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,5.79
633,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Bangalore,2013,84000,Diesel,Automatic,First,15.73 kmpl,0CC,174.33 bhp,5,17.75
634,Ford Ecosport 1.5 DV5 MT Titanium Optional,,2014,68000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,6.75
635,Volkswagen Vento 1.5 TDI Highline,Kochi,2016,50867,Diesel,Manual,First,20.34 kmpl,0CC,103.2 bhp,5,7.95
636,Maruti Zen Estilo VXI BSIII,Delhi,2007,64000,Petrol,Manual,First,18.2 kmpl,0CC,67.1 bhp,5,1.11
637,Hyundai Verna Xi (Petrol),Chennai,,60000,Petrol,Manual,Third,13.9 kmpl,1599 CC,103.2 bhp,5,2.25
638,Toyota Innova 2.0 E,Delhi,2006,150000,Petrol,Manual,First,,1998 CC,132 bhp,8,4.5
639,Ford Endeavour 2.2 Titanium AT 4X2,Chennai,,9000,Diesel,Automatic,First,12.62 kmpl,2198 CC,158 bhp,7,32.9
640,Maruti Swift ZDi,Bangalore,2014,98000,Diesel,Manual,,22.9 kmpl,1248 CC,74 bhp,5,6.1
641,Mahindra Ssangyong Rexton RX5,Pune,2013,57000,Diesel,Manual,First,12.83 kmpl,2696 CC,,7,12.45
642,Honda City 1.5 E MT,Chennai,2011,80000,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,5,3.85
643,Audi A4 New 2.0 TDI Multitronic,Jaipur,2012,60000,Diesel,Automatic,,15.2 kmpl,1968 CC,140.8 bhp,5,16
644,Honda Amaze S i-Dtech,Pune,2015,110000,Diesel,Manual,First,25.8 kmpl,0CC,98.6 bhp,5,4.65
645,Nissan X-Trail SLX AT,Hyderabad,2010,,Diesel,Automatic,First,13.29 kmpl,1995 CC,147.6 bhp,5,7.75
646,Toyota Fortuner 4x2 Manual,Hyderabad,2015,73500,Diesel,Manual,First,13.0 kmpl,2982 CC,,7,22
647,Audi Q5 2.0 TDI,Hyderabad,2015,56000,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5,35
648,BMW 3 Series 320d Sport Line,Kolkata,2013,21983,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5,16.5
649,Mini Cooper 3 DOOR S,Mumbai,,21000,Petrol,Automatic,First,17.44 kmpl,1998 CC,189.08 bhp,4,21.5
650,Honda Amaze V Petrol,Jaipur,2018,,Petrol,Manual,First,19.5 kmpl,1199 CC,86.76 bhp,5,6.7
651,Maruti Swift VXI,Mumbai,2012,15000,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,5,3.65
652,Toyota Innova 2.5 V Diesel 7-seater,Hyderabad,2014,,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7,12.99
653,Hyundai Verna 1.6 EX VTVT,Kolkata,2014,58000,Petrol,Manual,First,17.01 kmpl,1591 CC,,5,4.59
654,Mahindra Scorpio LX BS IV,Bangalore,2007,74112,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,9,4.1
655,Maruti Wagon R LXI,Jaipur,2006,145000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,1.15
656,Maruti Swift VDI BSIV,Delhi,2014,24000,Diesel,Manual,First,25.2 kmpl,0CC,74 bhp,5,5.21
657,Maruti Wagon R LXI,Ahmedabad,2015,51530,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,3.2
658,Hyundai EON D Lite Plus,Coimbatore,2016,27904,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,3.55
659,Land Rover Range Rover 3.0 D,Mumbai,2008,55001,Diesel,Automatic,Second,0.0 kmpl,0CC,,,26.5
660,Mercedes-Benz E-Class 280 Elegance,Jaipur,,62000,Petrol,Automatic,First,9.5 kmpl,2997 CC,231.1 bhp,5,7
661,Hyundai i10 Magna 1.2 iTech SE,Kolkata,2012,31000,Petrol,Manual,,20.36 kmpl,1197 CC,78.9 bhp,5,2.25
662,Mahindra XUV500 W8 2WD,Mumbai,2012,48000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,6.5
663,Mahindra XUV500 W8 2WD,Coimbatore,2015,,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,8.36
664,Hyundai i10 Era,Hyderabad,2011,60634,Petrol,Manual,,19.81 kmpl,1086 CC,68.05 bhp,5,3.3
665,Maruti Zen Estilo LXI Green (CNG),Ahmedabad,2011,76000,,Manual,First,26.3 km/kg,998 CC,67.1 bhp,5,2
666,Hyundai i20 Sportz Option,Chennai,2012,50000,Petrol,Manual,First,17.0 kmpl,1197 CC,,5,4
667,Hyundai EON Era Plus,Hyderabad,2015,68764,Petrol,Manual,First,,814 CC,55.2 bhp,5,2.9
668,Maruti Celerio VXI AT,Kolkata,2016,,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,3.49
669,Hyundai EON Era Plus,Kochi,2015,,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,3.45
670,Toyota Corolla Altis 1.8 G CVT,Delhi,2010,,Petrol,Automatic,Second,14.28 kmpl,1798 CC,138.03 bhp,5,4
671,BMW X1 sDrive 20d Sportline,Kolkata,2013,56683,Diesel,Automatic,Second,17.05 kmpl,1995 CC,184 bhp,5,13.5
672,Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Chennai,2015,480000,Diesel,Automatic,First,16.96 kmpl,0CC,138.03 bhp,5,13
673,Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,Petrol,Automatic,First,12.6 kmpl,1950 CC,191.34 bhp,5,51.43
674,BMW 3 Series 320d Luxury Plus,Ahmedabad,2015,100000,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5,24.75
675,Hyundai i20 Magna 1.4 CRDi,Pune,2015,29000,Diesel,Manual,Second,22.54 kmpl,1396 CC,88.73 bhp,5,7
676,Ford Figo Diesel ZXI,Coimbatore,,65287,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,4.45
